Age Groups,09/30/2010,09/30/2011,09/30/2012,09/30/2013,09/30/2014,09/30/2015,09/30/2016,09/30/2017,09/30/2018,09/30/2019,09/30/2020,09/30/2021,09/30/2022,09/30/2023,09/30/2024,09/30/2025,09/30/2026,09/30/2027,09/30/2028,09/30/2029,09/30/2030,09/30/2031,09/30/2032,09/30/2033,09/30/2034,09/30/2035,09/30/2036,09/30/2037,09/30/2038,09/30/2039,09/30/2040
20 <,"6,010","5,400","5,189","5,073","5,117","5,327","5,624","5,689","5,576","5,427","5,417","5,396","5,404","5,226","5,073","5,224","5,210","5,120","4,993","5,187","5,256","5,267","5,317","5,442","5,765","5,858","5,643","5,469","5,399","5,323","5,343"
20-24,"251,153","223,652","198,117","180,477","172,078","170,472","168,795","170,112","171,852","171,729","171,057","170,084","168,982","167,742","166,048","165,258","164,596","164,196","164,346","164,498","165,719","166,473","167,784","169,613","171,890","174,229","176,481","177,266","177,217","175,976","175,138"
25-29,"772,677","743,596","719,792","696,914","672,418","655,041","631,164","600,298","578,696","567,186","561,603","556,140","555,731","555,230","553,970","552,142","549,408","545,165","540,926","536,671","533,658","529,347","526,230","524,892","526,187","528,052","530,165","533,692","537,452","541,434","545,655"
30-34,"971,432","1,016,316","1,054,302","1,071,320","1,070,616","1,058,177","1,030,337","998,335","969,485","938,019","909,859","877,264","844,483","818,982","803,639","794,306","785,244","782,025","779,337","775,525","771,323","764,825","756,895","749,381","742,476","737,501","734,064","732,346","732,623","735,628","739,174"
35-39,"1,132,438","1,089,022","1,071,851","1,074,439","1,082,892","1,106,617","1,150,614","1,181,158","1,192,030","1,185,694","1,165,338","1,131,521","1,098,411","1,067,347","1,033,983","1,003,177","967,930","936,074","911,297","897,510","886,145","873,271","864,059","857,443","850,538","842,989","834,498","826,154","819,909","815,963","813,261"
40-44,"1,552,392","1,528,867","1,486,203","1,426,994","1,361,934","1,289,707","1,242,736","1,214,685","1,207,481","1,208,496","1,221,488","1,258,450","1,288,052","1,297,179","1,291,382","1,270,892","1,233,829","1,200,529","1,168,819","1,138,503","1,112,620","1,083,659","1,049,829","1,020,729","1,000,784","982,989","964,586","953,342","943,767","936,999","932,138"
45-49,"1,801,557","1,756,463","1,708,267","1,670,615","1,648,424","1,662,524","1,636,295","1,586,808","1,521,479","1,451,988","1,373,208","1,322,168","1,296,485","1,291,875","1,295,221","1,310,339","1,346,615","1,378,898","1,389,071","1,383,223","1,359,170","1,319,927","1,278,485","1,243,688","1,208,383","1,178,741","1,146,361","1,112,061","1,083,265","1,066,027","1,053,546"
50-54,"1,964,706","1,947,503","1,932,504","1,926,646","1,891,498","1,832,381","1,786,852","1,737,933","1,698,806","1,674,803","1,684,471","1,656,167","1,609,098","1,546,576","1,480,400","1,404,782","1,354,099","1,329,131","1,325,659","1,328,159","1,340,263","1,374,296","1,402,825","1,409,529","1,400,965","1,377,277","1,337,748","1,297,444","1,264,146","1,231,960","1,206,689"
55-59,"2,020,644","1,977,385","1,935,919","1,932,614","1,935,155","1,925,896","1,908,411","1,893,354","1,888,409","1,855,421","1,797,862","1,754,543","1,709,646","1,673,971","1,652,753","1,663,032","1,634,909","1,588,540","1,527,476","1,461,994","1,386,999","1,337,302","1,311,595","1,306,369","1,307,098","1,319,143","1,353,544","1,384,089","1,393,578","1,389,017","1,369,938"
60-64,"3,344,809","2,958,232","2,600,941","2,277,610","2,046,899","1,925,561","1,886,028","1,848,058","1,845,616","1,848,926","1,840,670","1,825,319","1,812,999","1,810,138","1,781,101","1,728,027","1,688,305","1,646,022","1,612,089","1,591,282","1,600,604","1,573,900","1,528,931","1,469,910","1,407,558","1,336,955","1,290,021","1,267,094","1,264,505","1,268,059","1,282,535"
65-69,"2,484,033","2,791,997","3,003,645","3,127,803","3,162,592","3,080,657","2,726,512","2,400,419","2,105,431","1,896,068","1,786,976","1,753,079","1,720,776","1,720,259","1,725,460","1,719,688","1,707,360","1,697,224","1,695,083","1,668,457","1,618,764","1,582,845","1,544,362","1,513,980","1,496,528","1,507,477","1,483,543","1,443,160","1,390,071","1,334,270","1,270,421"
70-74,"1,913,506","1,914,461","1,969,675","2,014,960","2,095,560","2,197,949","2,475,553","2,666,925","2,778,404","2,808,594","2,733,495","2,421,612","2,136,293","1,877,775","1,695,776","1,602,213","1,574,743","1,548,072","1,547,958","1,553,273","1,548,537","1,539,336","1,531,985","1,531,538","1,509,488","1,466,447","1,435,751","1,403,779","1,379,887","1,368,022","1,381,434"
75-79,"1,886,271","1,792,508","1,706,959","1,661,324","1,615,505","1,582,958","1,586,798","1,637,373","1,679,523","1,749,771","1,837,382","2,076,640","2,242,815","2,338,279","2,363,197","2,297,337","2,037,551","1,801,426","1,586,534","1,436,859","1,361,030","1,340,915","1,321,356","1,322,717","1,329,739","1,328,515","1,323,509","1,320,960","1,324,276","1,309,254","1,275,098"
80-84,"1,529,711","1,504,963","1,495,108","1,491,496","1,454,881","1,397,808","1,331,346","1,272,964","1,244,151","1,213,559","1,192,284","1,199,129","1,243,734","1,281,426","1,339,063","1,408,888","1,600,844","1,734,511","1,808,329","1,824,371","1,767,720","1,569,826","1,392,832","1,231,469","1,121,905","1,068,862","1,057,549","1,047,334","1,051,773","1,061,782","1,065,022"
85+,"1,400,551","1,425,783","1,439,807","1,414,678","1,404,161","1,400,886","1,399,184","1,401,158","1,383,912","1,356,793","1,323,165","1,286,943","1,260,846","1,243,551","1,218,861","1,196,654","1,192,196","1,219,922","1,246,283","1,279,264","1,319,089","1,455,026","1,566,352","1,629,304","1,653,187","1,629,370","1,574,066","1,521,315","1,449,902","1,392,994","1,347,412"
Grand Total,"23,031,892","22,676,149","22,328,279","21,972,964","21,619,731","21,291,961","20,966,249","20,615,270","20,270,850","19,932,474","19,604,276","19,294,455","18,993,756","18,695,556","18,405,928","18,121,959","17,842,838","17,576,857","17,308,199","17,044,776","16,776,896","16,516,215","16,248,838","15,986,005","15,732,492","15,484,406","15,247,531","15,025,505","14,817,771","14,632,708","14,462,805"
