Date,all veterans,wartime veterans,peacetime veterans,wwii,vietnam era,gulf war era,pre-wwii,wwii only,wwi and kore,wwii korean vietnam,between wwi korean,koren era only,korean conflict,korean and vietnam era,between korean and vietnam era,vietnam era only,vietnam era and gulf war era,vietnam era gulf war era and post 911,between vietnam era and gulf war era,gulf war era and post 911 era,post 911 era,gulf war era and post 911,post gulf war era
09/30/2010,"23,031,892","17,117,921","5,913,971","2,120,409","7,695,836","5,599,420","27,521","1,914,817","149,809","55,783","141,223","2,120,543","2,531,471","205,336","2,339,762","7,072,213","311,398","51,105","3,405,465","1,005,366","1,532,453","2,699,098",0
09/30/2011,"22,676,149","16,850,862","5,825,286","1,630,848","7,574,032","5,954,523","24,090","1,476,600","111,416","42,832","135,995","2,078,176","2,433,372","200,948","2,257,355","6,986,367","297,842","46,042","3,407,847","1,079,086","1,790,290","2,741,263",0
09/30/2012,"22,328,279","16,706,224","5,622,055","1,396,402","7,489,353","6,240,055","20,549","1,267,880","93,074","35,447","113,936","1,951,991","2,273,001","192,489","2,153,836","6,925,289","292,228","43,900","3,333,734","1,169,313","1,997,007","2,737,606",0
09/30/2013,"21,972,964","16,475,283","5,497,681","1,245,660","7,330,032","6,484,914","16,753","1,128,873","84,931","31,856","95,072","1,777,902","2,073,580","178,890","2,073,441","6,787,916","288,143","43,227","3,312,415","1,256,325","2,179,706","2,717,512",0
09/30/2014,"21,619,731","16,205,888","5,413,843","1,111,623","7,153,996","6,693,780","13,308","1,002,466","79,594","29,563","85,486","1,606,823","1,878,257","162,277","2,005,039","6,631,385","286,685","44,086","3,310,010","1,337,113","2,339,797","2,686,099",0
09/30/2015,"21,291,961","15,954,184","5,337,777","940,674","6,962,018","6,919,682","9,952","842,539","71,618","26,517","85,583","1,496,679","1,742,446","147,632","1,936,161","6,449,518","290,658","47,693","3,306,080","1,425,117","2,494,297","2,661,916",0
09/30/2016,"20,966,249","15,712,869","5,253,380","812,667","6,703,555","7,207,149","8,407","727,255","62,357","23,055","75,763","1,346,063","1,565,609","134,133","1,896,909","6,212,856","286,569","46,942","3,272,301","1,477,940","2,737,004","2,658,694",0
09/30/2017,"20,615,270","15,470,604","5,144,666","686,964","6,484,370","7,427,190","6,896","614,095","53,216","19,652","66,596","1,218,522","1,414,071","122,680","1,829,369","6,015,248","280,808","45,982","3,228,412","1,532,618","2,915,281","2,652,501","13,393"
09/30/2018,"20,270,850","15,250,650","5,020,199","553,356","6,297,325","7,631,276","5,318","493,968","43,409","15,979","57,321","1,103,679","1,275,115","112,048","1,724,841","5,850,292","274,066","44,941","3,201,106","1,588,669","3,084,411","2,639,188","31,614"
09/30/2019,"19,932,474","15,043,834","4,888,640","419,923","6,162,142","7,798,893","3,759","374,118","33,538","12,267","47,980","986,715","1,133,410","100,890","1,600,368","5,737,413","267,611","43,962","3,173,759","1,645,817","3,223,487","2,618,016","62,775"
09/30/2020,"19,604,276","14,828,327","4,775,948","289,953","6,049,166","7,935,460","2,252","257,445","23,886","8,621","38,789","867,737","989,383","89,139","1,465,142","5,646,039","262,212","43,154","3,151,077","1,710,221","3,321,797","2,598,074","118,689"
09/30/2021,"19,294,455","14,530,742","4,763,713","237,316","5,766,533","8,074,089","1,810","210,568","19,653","7,095","32,718","758,393","863,884","78,744","1,408,250","5,382,200","256,349","42,145","3,108,633","1,769,817","3,411,343","2,594,435","212,303"
09/30/2022,"18,993,756","14,257,944","4,735,812","188,809","5,520,955","8,184,443","1,403","167,388","15,742","5,679","27,139","659,372","750,133","69,340","1,330,770","5,155,980","249,009","40,947","3,055,354","1,801,301","3,509,711","2,583,474","321,146"
09/30/2023,"18,695,556","13,987,046","4,708,510","143,203","5,302,888","8,261,975","1,021","126,806","12,059","4,337","21,912","563,784","640,156","59,975","1,219,064","4,958,109","240,787","39,679","3,018,399","1,820,026","3,595,479","2,566,005","448,115"
09/30/2024,"18,405,928","13,731,769","4,674,159","98,295","5,129,792","8,312,125",646,"86,874","8,418","3,002","16,712","465,861","527,411","50,129","1,090,358","4,805,358","232,835","38,467","2,982,308","1,834,912","3,664,981","2,540,931","584,134"
09/30/2025,"18,121,959","13,480,492","4,641,467","55,283","4,974,490","8,347,306",288,"48,648","4,923","1,712","11,727","368,306","414,916","39,975","951,546","4,669,622","225,781","37,401","2,950,851","1,853,612","3,713,595","2,516,918","727,056"
09/30/2026,"17,842,838","13,179,993","4,662,845","45,298","4,676,228","8,401,531",235,"39,854","4,038","1,407","9,761","312,473","352,145","34,228","887,383","4,386,463","218,035","36,095","2,893,616","1,859,081","3,783,690","2,504,629","871,849"
09/30/2027,"17,576,857","12,909,844","4,667,013","36,351","4,407,139","8,447,074",188,"31,974","3,245","1,133","8,020","264,048","297,680","29,255","807,902","4,133,116","209,008","34,628","2,827,467","1,862,224","3,855,679","2,485,535","1,023,435"
09/30/2028,"17,308,199","12,632,259","4,675,940","26,927","4,158,529","8,466,976",139,"23,675","2,411",841,"6,182","212,941","240,131","23,938","706,987","3,901,477","199,183","33,089","2,776,510","1,861,157","3,913,864","2,459,683","1,186,122"
09/30/2029,"17,044,776","12,364,076","4,680,700","17,198","3,941,585","8,466,531",88,"15,113","1,548",537,"4,283","160,388","180,876","18,403","597,120","3,701,555","189,509","31,581","2,727,452","1,858,054","3,960,883","2,426,504","1,351,758"
09/30/2030,"16,776,896","12,087,374","4,689,522","6,998","3,734,662","8,451,138",34,"6,140",643,215,"2,292","105,505","118,921","12,559","486,523","3,511,175","180,534","30,180","2,683,196","1,857,982","3,988,017","2,394,425","1,517,477"
09/30/2031,"16,516,215","11,775,302","4,740,913","6,287","3,416,658","8,455,841",30,"5,515",579,194,"2,068","96,040","108,352","11,538","455,339","3,205,595","170,805","28,526","2,608,352","1,847,736","4,037,551","2,371,223","1,675,123"
09/30/2032,"16,248,838","11,479,794","4,769,044","5,247","3,138,788","8,441,558",25,"4,601",483,163,"1,734","81,644","92,193","9,902","404,919","2,941,443","160,461","26,819","2,528,086","1,832,406","4,079,075","2,342,795","1,834,279"
09/30/2033,"15,986,005","11,185,176","4,800,829","3,892","2,882,020","8,411,658",19,"3,413",358,121,"1,295","62,446","70,583","7,658","334,227","2,699,522","149,634","25,086","2,462,946","1,815,233","4,113,087","2,308,619","2,002,342"
09/30/2034,"15,732,492","10,905,081","4,827,411","2,369","2,657,357","8,367,506",12,"2,078",218,74,800,"40,658","46,023","5,073","252,102","2,489,474","139,290","23,446","2,402,213","1,799,173","4,136,560","2,269,037","2,172,285"
09/30/2035,"15,484,406","10,633,554","4,850,853",778,"2,447,523","8,319,386",4,683,71,24,282,"17,777","20,206","2,335","163,413","2,293,278","129,912","21,974","2,347,488","1,790,057","4,145,778","2,231,666","2,339,666"
09/30/2036,"15,247,531","10,359,161","4,888,370",629,"2,203,991","8,280,084",3,553,57,19,227,"14,325","16,281","1,879","135,554","2,062,244","119,603","20,246","2,250,819","1,768,631","4,175,540","2,196,065","2,501,767"
09/30/2037,"15,025,505","10,078,218","4,947,287",488,"1,969,237","8,225,317",3,429,44,15,176,"11,082","12,592","1,452","109,342","1,839,880","109,349","18,542","2,157,686","1,745,877","4,192,294","2,159,255","2,680,080"
09/30/2038,"14,817,771","9,779,065","5,038,706",349,"1,731,267","8,155,191",2,307,31,10,125,"7,925","9,002","1,035","83,517","1,614,564","98,845","16,812","2,082,084","1,722,236","4,198,312","2,118,986","2,872,977"
09/30/2039,"14,632,708","9,486,002","5,146,706",221,"1,507,240","8,077,068",1,195,20,7,79,"5,064","5,751",661,"60,211","1,402,988","88,488","15,096","2,013,168","1,700,410","4,197,982","2,075,092","3,073,247"
09/30/2040,"14,462,805","9,200,314","5,262,491",100,"1,292,854","7,996,459",1,88,9,3,36,"2,413","2,742",317,"38,717","1,201,025","78,130","13,378","1,948,235","1,685,408","4,186,723","2,032,819","3,275,502"
